Streifen,GI_251007,GI_251201,GI_260304,MGRVI_260304,MGRVI_COLOR_260304,GI_260306,MGRVI_260306,MGRVI_COLOR_260306,GI_251203,MGRVI_251203,MGRVI_COLOR_251203,MGRVI_251201,MGRVI_COLOR_251201
Forsthaus_Unten 50,,,,,,0.3669315146937909,0.0172368286560552,#a3e635,,,,,
Forsthaus_Unten 51,,,,,,0.3745699395272559,0.0314332308601595,#a3e635,,,,,
Forsthaus_Unten 52,,,,,,0.3693424403286136,0.0040235856274386,#a3e635,,,,,
Forsthaus_Unten 53,,,,,,0.360776932200833,-0.026824142263632,#eab308,,,,,
Forsthaus_Unten 54,,,,,,0.3897819196866065,0.0551313827074182,#a3e635,,,,,
Forsthaus_Unten 55,,,,,,0.3879188427278477,0.035510234624888,#a3e635,,,,,
Forsthaus_Unten 56,,,,,,0.3767960253209139,0.0161337274462322,#a3e635,,,,,
Forsthaus_Unten 57,,,,,,0.3765251360200998,0.017950744811673,#a3e635,,,,,
Forsthaus_Unten 58,,,,,,0.368574238613888,-0.0066595396192724,#eab308,,,,,
Forsthaus_Unten 59,,,,,,0.3860285409415943,0.0424750730693728,#a3e635,,,,,
Forsthaus_Unten 60,,,,,,0.379995654902861,0.0299381906110405,#a3e635,,,,,
Forsthaus_Unten 61,,,,,,0.4011172336692051,0.0884917265977874,#a3e635,,,,,
Forsthaus_Unten 62,,,,,,0.3790493839903524,0.0300676113464403,#a3e635,,,,,
Forsthaus_Unten 63,,,,,,0.3883809452239482,0.0532392824137048,#a3e635,,,,,
Forsthaus_Unten 64,,,,,,0.3835715828738198,0.0415696177319925,#a3e635,,,,,
Forsthaus_Unten 65,,,,,,0.3900578785211233,0.0554429633617638,#a3e635,,,,,
Forsthaus_Unten 66,,,,,,0.395008771271882,0.0727145536605958,#a3e635,,,,,
Forsthaus_Unten 67,,,,,,0.3995420061032951,0.0827430125463128,#a3e635,,,,,
Forsthaus_Unten 68,,,,,,0.4127135742866821,0.1120581500382251,#a3e635,,,,,
Forsthaus_Unten 69,,,,,,0.3922990814731858,0.0568566032434071,#a3e635,,,,,
Forsthaus_Unten 70,,,,,,0.3970010103876205,0.0670582897174499,#a3e635,,,,,
Forsthaus_Unten 71,,,,,,0.3862849300601008,0.0360537332687497,#a3e635,,,,,
Forsthaus_Unten 72,,,,,,0.3983110318333666,0.0692440895593617,#a3e635,,,,,
Forsthaus_Unten 73,,,,,,0.387976558728272,0.0374774568494818,#a3e635,,,,,
Forsthaus_Unten 74,,,,,,0.387067538041442,0.0308383020319962,#a3e635,,,,,
